CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET,,,
"1168;Shaughnessy;""{""""coordinates"""": [-123.13161020651876", 49.237507303402616]," """"type"""": """"Point""""}"";__FIYG10;73914632;011102098;W 37TH AV",1168
"1166;Shaughnessy;""{""""coordinates"""": [-123.13134092966443", 49.23749817384457]," """"type"""": """"Point""""}"";__FIYG12;73914648;011102110;W 37TH AV",1166
"1118;Shaughnessy;""{""""coordinates"""": [-123.13053514652795", 49.23747077009588]," """"type"""": """"Point""""}"";__FIYG16;73914694;003391230;W 37TH AV",1118
"1183;Shaughnessy;""{""""coordinates"""": [-123.13217568308256", 49.2371229924722]," """"type"""": """"Point""""}"";__FIYG1K;74114605;004601238;W 38TH AV",1183
"1222;Shaughnessy;""{""""coordinates"""": [-123.13302826185313", 49.23662770693099]," """"type"""": """"Point""""}"";__FIYG1M;74114478;011097604;W 38TH AV",1222
"1221;Shaughnessy;""{""""coordinates"""": [-123.13303952632097", 49.23622876362622]," """"type"""": """"Point""""}"";__FIYG1S;74314479;011097639;W 39TH AV",1221
"1222;Shaughnessy;""{""""coordinates"""": [-123.13299506048821", 49.23755425577963]," """"type"""": """"Point""""}"";__FIYG1U;73914478;007815972;W 37TH AV",1222
"1218;Shaughnessy;""{""""coordinates"""": [-123.13270654843232", 49.23754425202233]," """"type"""": """"Point""""}"";__FIYG1W;73914496;011104414;W 37TH AV",1218
"5488;Shaughnessy;""{""""coordinates"""": [-123.12992821467122", 49.23601963907556]," """"type"""": """"Point""""}"";__FIYG24;14874166;017404215;OSLER ST",5488
"4890;Shaughnessy;""{""""coordinates"""": [-123.13425585387283", 49.24193927452932]," """"type"""": """"Point""""}"";__FIYG4O;73014405;007569084;HUDSON ST",4890
"1263;Shaughnessy;""{""""coordinates"""": [-123.13371478422144", 49.24192326984579]," """"type"""": """"Point""""}"";__FIYG4Q;73014433;011000503;W 33RD AV",1263
"1249;Shaughnessy;""{""""coordinates"""": [-123.13344918751697", 49.241912332898664]," """"type"""": """"Point""""}"";__FIYG4S;73014449;003041441;W 33RD AV",1249
"1425;Shaughnessy;""{""""coordinates"""": [-123.13736805285271", 49.242074988148445]," """"type"""": """"Point""""}"";__FIYG52;73013075;011001461;W 33RD AV",1425
"1379;Shaughnessy;""{""""coordinates"""": [-123.13654748426266", 49.24204494534157]," """"type"""": """"Point""""}"";__FIYG56;73013525;008334960;W 33RD AV",1379
"1331;Shaughnessy;""{""""coordinates"""": [-123.1354484072173", 49.24200487904818]," """"type"""": """"Point""""}"";__FIYG5E;73013573;011001640;W 33RD AV",1331
"1290;Shaughnessy;""{""""coordinates"""": [-123.13427615982808", 49.24138198671296]," """"type"""": """"Point""""}"";__FIYG5I;73014406;004503503;W 33RD AV",1290
"1276;Shaughnessy;""{""""coordinates"""": [-123.1339479090545", 49.241367534615996]," """"type"""": """"Point""""}"";__FIYG5K;73014412;009435824;W 33RD AV",1276
"1242;Shaughnessy;""{""""coordinates"""": [-123.13329526693342", 49.24134312079221]," """"type"""": """"Point""""}"";__FIYG5O;73014456;010859284;W 33RD AV",1242
"1336;Shaughnessy;""{""""coordinates"""": [-123.13548199919117", 49.24143273329499]," """"type"""": """"Point""""}"";__FIYG5W;73013564;010949224;W 33RD AV",1336
"1458;Shaughnessy;""{""""coordinates"""": [-123.138139163845", 49.24152894804385]," """"type"""": """"Point""""}"";__FIYG68;73013042;011043181;W 33RD AV",1458
"1476;Shaughnessy;""{""""coordinates"""": [-123.13843388376957", 49.24153938955288]," """"type"""": """"Point""""}"";__FIYG6A;73013024;010166262;W 33RD AV",1476
"1492;Shaughnessy;""{""""coordinates"""": [-123.13891434148357", 49.24164044107477]," """"type"""": """"Point""""}"";__FIYG6C;13073004;011042711;W 33RD AV",1492
"4938;Shaughnessy;""{""""coordinates"""": [-123.1389262973496", 49.24145062708952]," """"type"""": """"Point""""}"";__FIYG6E;13073034;009051881;GRANVILLE ST",4938
"4900;Shaughnessy;""{""""coordinates"""": [-123.13648181806907", 49.240720473519374]," """"type"""": """"Point""""}"";__FIYG6O;13573006;VAS368;CARTIER ST",4900
"4812;Shaughnessy;""{""""coordinates"""": [-123.14349021124222", 49.24261932345104]," """"type"""": """"Point""""}"";__FIYG6U;12272556;011006846;MARGUERITE ST",4812
"4775;Shaughnessy;""{""""coordinates"""": [-123.14276025329795", 49.24256626533443]," """"type"""": """"Point""""}"";__FIYG76;12572537;008210403;CONNAUGHT DRIVE",4775
"1520;Shaughnessy;""{""""coordinates"""": [-123.1398370393274", 49.2430920503074]," """"type"""": """"Point""""}"";__FIYG7K;13072505;011004746;W 32ND AV",1520
"4815;Shaughnessy;""{""""coordinates"""": [-123.13985554727131", 49.242596390172665]," """"type"""": """"Point""""}"";__FIYG7O;13072733;011004771;GRANVILLE ST",4815
"4849;Shaughnessy;""{""""coordinates"""": [-123.1398623810793", 49.24234541468377]," """"type"""": """"Point""""}"";__FIYG7Q;13072763;003316416;GRANVILLE ST",4849
"1519;Shaughnessy;""{""""coordinates"""": [-123.14053875544793", 49.24218681732869]," """"type"""": """"Point""""}"";__FIYG7U;73012585;BCS3690;W 33RD AV",1519
"1569;Shaughnessy;""{""""coordinates"""": [-123.14136345933944", 49.242191100337074]," """"type"""": """"Point""""}"";__FIYG7W;73012525;011005220;W 33RD AV",1569
"4850;Shaughnessy;""{""""coordinates"""": [-123.14189516111207", 49.24219628641588]," """"type"""": """"Point""""}"";__FIYG7Y;12572594;011005262;CONNAUGHT DRIVE",4850
"4650;Shaughnessy;""{""""coordinates"""": [-123.14365967812819", 49.24409658093598]," """"type"""": """"Point""""}"";__FIYG82;72212205;011011572;MARGUERITE ST",4650
"4649;Shaughnessy;""{""""coordinates"""": [-123.14348860713453", 49.24427534901487]," """"type"""": """"Point""""}"";__FIYG84;72212217;011011424;BEVERLY CRESCENT",4649
"4561;Shaughnessy;""{""""coordinates"""": [-123.14303200248074", 49.24472927520401]," """"type"""": """"Point""""}"";__FIYG8A;72212265;011011386;BEVERLY CRESCENT",4561
"4630;Shaughnessy;""{""""coordinates"""": [-123.14095605542141", 49.24379950626917]," """"type"""": """"Point""""}"";__FIYG8E;12572336;008089264;CONNAUGHT DRIVE",4630
"4670;Shaughnessy;""{""""coordinates"""": [-123.14141291321242", 49.24333433486033]," """"type"""": """"Point""""}"";__FIYG8I;12572376;011002379;CONNAUGHT DRIVE",4670
"1509;Shaughnessy;""{""""coordinates"""": [-123.1398901296319", 49.24373515463449]," """"type"""": """"Point""""}"";__FIYG8Q;72512595;011002611;W 32ND AV",1509
"4615;Shaughnessy;""{""""coordinates"""": [-123.13980037636414", 49.2442574368639]," """"type"""": """"Point""""}"";__FIYG8U;13072157;007969228;GRANVILLE ST",4615
"4550;Shaughnessy;""{""""coordinates"""": [-123.14215854884975", 49.24461928010036]," """"type"""": """"Point""""}"";__FIYG90;72212274;011003375;BEVERLY CRESCENT",4550
"4691;Shaughnessy;""{""""coordinates"""": [-123.14257590894607", 49.24323528909427]," """"type"""": """"Point""""}"";__FIYG9E;12572397;011003693;CONNAUGHT DRIVE",4691
"4641;Shaughnessy;""{""""coordinates"""": [-123.14214725610972", 49.24385379923516]," """"type"""": """"Point""""}"";__FIYG9I;12572349;011003782;CONNAUGHT DRIVE",4641
"1550;Shaughnessy;""{""""coordinates"""": [-123.14103348195486", 49.240632178362176]," """"type"""": """"Point""""}"";__FIYG9S;73512536;008358133;W 34TH AV",1550
"1520;Shaughnessy;""{""""coordinates"""": [-123.14013908191032", 49.240617992850446]," """"type"""": """"Point""""}"";__FIYG9W;73512576;003241157;W 34TH AV",1520
"1520;Shaughnessy;""{""""coordinates"""": [-123.14011365856113", 49.24157196919445]," """"type"""": """"Point""""}"";__FIYGA8;73012574;008807752;W 33RD AV",1520
"1519;Shaughnessy;""{""""coordinates"""": [-123.14014001351929", 49.24118514180291]," """"type"""": """"Point""""}"";__FIYGAC;73512575;011079886;W 34TH AV",1519
"4970;Shaughnessy;""{""""coordinates"""": [-123.14368521606166", 49.24117849310443]," """"type"""": """"Point""""}"";__FIYGAS;12273036;002644908;MARGUERITE ST",4970
"5012;Shaughnessy;""{""""coordinates"""": [-123.14369651375233", 49.24081552098801]," """"type"""": """"Point""""}"";__FIYGAW;12273056;011095563;MARGUERITE ST",5012
"4987;Shaughnessy;""{""""coordinates"""": [-123.14291129105891", 49.24112144275137]," """"type"""": """"Point""""}"";__FIYGB4;12573097;011095628;CONNAUGHT DRIVE",4987
"5462;Shaughnessy;""{""""coordinates"""": [-123.1390875759924", 49.23657412812418]," """"type"""": """"Point""""}"";__FIYGBG;13074166;010874178;GRANVILLE ST",5462
"5488;Shaughnessy;""{""""coordinates"""": [-123.13909190168819", 49.236407261028184]," """"type"""": """"Point""""}"";__FIYGBI;13074196;010874186;GRANVILLE ST",5488
"1459;Shaughnessy;""{""""coordinates"""": [-123.13859272806467", 49.23646768836806]," """"type"""": """"Point""""}"";__FIYGBK;74313015;010874208;W 39TH AV",1459
"1415;Shaughnessy;""{""""coordinates"""": [-123.1376282887534", 49.23643333711748]," """"type"""": """"Point""""}"";__FIYGBQ;74313075;010861955;W 39TH AV",1415
"1410;Shaughnessy;""{""""coordinates"""": [-123.1373785932145", 49.23679119549709]," """"type"""": """"Point""""}"";__FIYGBU;74113094;010805443;W 38TH AV",1410
"1420;Shaughnessy;""{""""coordinates"""": [-123.13761969242879", 49.236795397165395]," """"type"""": """"Point""""}"";__FIYGBW;74113074;010861904;W 38TH AV",1420
"1450;Shaughnessy;""{""""coordinates"""": [-123.1383052508214", 49.2368166078163]," """"type"""": """"Point""""}"";__FIYGBY;74113034;005217342;W 38TH AV",1450
"1460;Shaughnessy;""{""""coordinates"""": [-123.1385807069352", 49.2368257137291]," """"type"""": """"Point""""}"";__FIYGC0;74113014;010874241;W 38TH AV",1460
"5362;Shaughnessy;""{""""coordinates"""": [-123.13905098281904", 49.23747054875715]," """"type"""": """"Point""""}"";__FIYGC4;13073964;010940898;GRANVILLE ST",5362
"1408;Shaughnessy;""{""""coordinates"""": [-123.13737154548356", 49.23770736996208]," """"type"""": """"Point""""}"";__FIYGCI;73913096;016036476;W 37TH AV",1408
"1289;Shaughnessy;""{""""coordinates"""": [-123.13449152343327", 49.2362769700092]," """"type"""": """"Point""""}"";__FIYGD4;74314405;003429075;W 39TH AV",1289
"1277;Shaughnessy;""{""""coordinates"""": [-123.13419621825992", 49.23629216458064]," """"type"""": """"Point""""}"";__FIYGD6;74314415;011097701;W 39TH AV",1277
"1263;Shaughnessy;""{""""coordinates"""": [-123.13391459276079", 49.23628620370292]," """"type"""": """"Point""""}"";__FIYGD8;74314431;011097671;W 39TH AV",1263
"1278;Shaughnessy;""{""""coordinates"""": [-123.13414773495711", 49.23759383342694]," """"type"""": """"Point""""}"";__FIYGDA;73914414;011104333;W 37TH AV",1278
"1336;Shaughnessy;""{""""coordinates"""": [-123.13560883383975", 49.23763481899959]," """"type"""": """"Point""""}"";__FIYGDU;73913560;011112042;W 37TH AV",1336
"1350;Shaughnessy;""{""""coordinates"""": [-123.13590353004682", 49.23764525799636]," """"type"""": """"Point""""}"";__FIYGDW;73913544;011112069;W 37TH AV",1350
"1364;Shaughnessy;""{""""coordinates"""": [-123.13619411013487", 49.237657509138884]," """"type"""": """"Point""""}"";__FIYGDY;73913528;011112077;W 37TH AV",1364
"1357;Shaughnessy;""{""""coordinates"""": [-123.13578905728967", 49.23723476851356]," """"type"""": """"Point""""}"";__FIYGE0;74113541;011111941;W 38TH AV",1357
"5385;Shaughnessy;""{""""coordinates"""": [-123.13501350683161", 49.23720556141117]," """"type"""": """"Point""""}"";__FIYGE6;74113595;011112026;HUDSON ST",5385
"1357;Shaughnessy;""{""""coordinates"""": [-123.13609345126712", 49.23727577947198]," """"type"""": """"Point""""}"";__FIYGE8;74113541;016047508;W 38TH AV",1357
"5112;Shaughnessy;""{""""coordinates"""": [-123.13894124763289", 49.23975231611692]," """"type"""": """"Point""""}"";__FIYGEE;13073604;011042273;GRANVILLE ST",5112
"5212;Shaughnessy;""{""""coordinates"""": [-123.13896876473994", 49.23880239407321]," """"type"""": """"Point""""}"";__FIYGEK;13073706;011042141;GRANVILLE ST",5212
"5326;Shaughnessy;""{""""coordinates"""": [-123.1413909153359", 49.237862114259514]," """"type"""": """"Point""""}"";__FIYGEW;73912506;011124822;CONNAUGHT DRIVE",5326
"1530;Shaughnessy;""{""""coordinates"""": [-123.14083932935559", 49.23785290225207]," """"type"""": """"Point""""}"";__FIYGEY;73912566;011124831;W 37TH AV",1530
"1529;Shaughnessy;""{""""coordinates"""": [-123.14065528758996", 49.23834606604381]," """"type"""": """"Point""""}"";__FIYGFI;73912557;010994262;W 37TH AV",1529
"1518;Shaughnessy;""{""""coordinates"""": [-123.13982658990841", 49.238719484251924]," """"type"""": """"Point""""}"";__FIYGFO;73712596;009825258;W 36TH AV",1518
"1528;Shaughnessy;""{""""coordinates"""": [-123.14020921302505", 49.2387244176565]," """"type"""": """"Point""""}"";__FIYGFQ;73712576;011079657;W 36TH AV",1528
"1550;Shaughnessy;""{""""coordinates"""": [-123.14110494625452", 49.23873635217931]," """"type"""": """"Point""""}"";__FIYGFU;73712536;010994211;W 36TH AV",1550
"1520;Shaughnessy;""{""""coordinates"""": [-123.14017484314472", 49.23967164975748]," """"type"""": """"Point""""}"";__FIYGG8;73612574;011079738;W 35TH AV",1520
"5175;Shaughnessy;""{""""coordinates"""": [-123.13979249125025", 49.239283527450944]," """"type"""": """"Point""""}"";__FIYGGC;73712595;011079797;GRANVILLE ST",5175
"1529;Shaughnessy;""{""""coordinates"""": [-123.14062228783565", 49.239293755432335]," """"type"""": """"Point""""}"";__FIYGGG;73712555;010995200;W 36TH AV",1529
"5176;Shaughnessy;""{""""coordinates"""": [-123.14203365692647", 49.23931583925335]," """"type"""": """"Point""""}"";__FIYGGK;73712505;010995269;CONNAUGHT DRIVE",5176
"1511;Shaughnessy;""{""""coordinates"""": [-123.13975261655509", 49.240230325225625]," """"type"""": """"Point""""}"";__FIYGGM;73612597;003631737;W 35TH AV",1511
"5078;Shaughnessy;""{""""coordinates"""": [-123.1437595129535", 49.24028382369324]," """"type"""": """"Point""""}"";__FIYGGY;12273086;009899782;MARGUERITE ST",5078
"5098;Shaughnessy;""{""""coordinates"""": [-123.14382564902387", 49.24011372225924]," """"type"""": """"Point""""}"";__FIYGH0;12273096;009899812;MARGUERITE ST",5098
"5188;Shaughnessy;""{""""coordinates"""": [-123.1437549296461", 49.2391922473955]," """"type"""": """"Point""""}"";__FIYGHA;12273564;010994343;MARGUERITE ST",5188
"5210;Shaughnessy;""{""""coordinates"""": [-123.14376058817759", 49.239011885667786]," """"type"""": """"Point""""}"";__FIYGHC;12273584;008195498;MARGUERITE ST",5210
"5250;Shaughnessy;""{""""coordinates"""": [-123.1437719038157", 49.238650712433966]," """"type"""": """"Point""""}"";__FIYGHG;12273742;010994360;MARGUERITE ST",5250
"5288;Shaughnessy;""{""""coordinates"""": [-123.14377822032695", 49.23846990010714]," """"type"""": """"Point""""}"";__FIYGHI;12273772;010994386;MARGUERITE ST",5288
"5261;Shaughnessy;""{""""coordinates"""": [-123.14293719570503", 49.23851548821709]," """"type"""": """"Point""""}"";__FIYGHM;12573765;010994416;CONNAUGHT DRIVE",5261
"5237;Shaughnessy;""{""""coordinates"""": [-123.14297179638582", 49.2387376190043]," """"type"""": """"Point""""}"";__FIYGHO;12573735;010082522;CONNAUGHT DRIVE",5237
"1626;Shaughnessy;""{""""coordinates"""": [-123.1431930119819", 49.237767207577775]," """"type"""": """"Point""""}"";__FIYGI0;73912254;008207518;W 37TH AV",1626
"1622;Shaughnessy;""{""""coordinates"""": [-123.14281245534933", 49.23776184973058]," """"type"""": """"Point""""}"";__FIYGI2;73912274;008766991;W 37TH AV",1622
"1639;Shaughnessy;""{""""coordinates"""": [-123.14240773726057", 49.23723658604984]," """"type"""": """"Point""""}"";__FIYGIA;74112437;011124971;AVONDALE AV",1639
"1622;Shaughnessy;""{""""coordinates"""": [-123.1415335620589", 49.23683693098332]," """"type"""": """"Point""""}"";__FIYGIK;74112466;011124687;AVONDALE AV",1622
"5515;Shaughnessy;""{""""coordinates"""": [-123.14301191253477", 49.236440200867406]," """"type"""": """"Point""""}"";__FIYGIQ;12474127;011124628;SOMERSET CRESCENT",5515
"1392;Shaughnessy;""{""""coordinates"""": [-123.13678146122953", 49.23768514124297]," """"type"""": """"Point""""}"";__FIYGJ0;73913504;011112093;W 37TH AV",1392
"1198;Shaughnessy;""{""""coordinates"""": [-123.13223869044646", 49.23476932206734]," """"type"""": """"Point""""}"";__FIZGJO;74714606;011043661;W 40TH AV",1198
"1168;Shaughnessy;""{""""coordinates"""": [-123.1317064702705", 49.23475060827015]," """"type"""": """"Point""""}"";__FIZGJS;74714632;010850350;W 40TH AV",1168
"5633;Shaughnessy;""{""""coordinates"""": [-123.13063010774928", 49.23471317780663]," """"type"""": """"Point""""}"";__FIZGK0;74714696;011043997;OSLER ST",5633
"1121;Shaughnessy;""{""""coordinates"""": [-123.13091206341397", 49.234338206361684]," """"type"""": """"Point""""}"";__FIZGK4;75014779;011044110;W 41ST AV",1121
"1135;Shaughnessy;""{""""coordinates"""": [-123.13118997576929", 49.23434686835517]," """"type"""": """"Point""""}"";__FIZGK6;75014761;011044560;W 41ST AV",1135
"5675;Shaughnessy;""{""""coordinates"""": [-123.1328154664637", 49.23440659247901]," """"type"""": """"Point""""}"";__FIZGKK;75014595;010159118;SELKIRK ST",5675
"1178;Shaughnessy;""{""""coordinates"""": [-123.13160903366393", 49.24702825416275]," """"type"""": """"Point""""}"";__FJ0N2C;71414614;011025140;W 27TH AV",1178
"1138;Shaughnessy;""{""""coordinates"""": [-123.13118375865103", 49.24702019236997]," """"type"""": """"Point""""}"";__FJ0N2G;71414638;011025280;W 27TH AV",1138
"1122;Shaughnessy;""{""""coordinates"""": [-123.13075847003358", 49.247012129027176]," """"type"""": """"Point""""}"";__FJ0N2K;71414662;011025328;W 27TH AV",1122
"1252;Shaughnessy;""{""""coordinates"""": [-123.13316036114821", 49.24705255369925]," """"type"""": """"Point""""}"";__FJ0N2M;71414456;011026936;W 27TH AV",1252
"1263;Shaughnessy;""{""""coordinates"""": [-123.13336431877758", 49.24757314241563]," """"type"""": """"Point""""}"";__FJ0ND6;71414445;011024763;W 27TH AV",1263
"1269;Shaughnessy;""{""""coordinates"""": [-123.13357249144877", 49.24757650001439]," """"type"""": """"Point""""}"";__FJ0ND8;71414435;011024771;W 27TH AV",1269
"1256;Shaughnessy;""{""""coordinates"""": [-123.13333804052125", 49.24796851319637]," """"type"""": """"Point""""}"";__FJ0NDM;71214444;011024470;W 26TH AV",1256
"4150;Shaughnessy;""{""""coordinates"""": [-123.13410746686284", 49.24850552845547]," """"type"""": """"Point""""}"";__FJ0NDU;71214407;011028823;HUDSON ST",4150
"4328;Shaughnessy;""{""""coordinates"""": [-123.13419629602387", 49.24706977727395]," """"type"""": """"Point""""}"";__FJ0NDW;71414404;011026901;HUDSON ST",4328
"1288;Shaughnessy;""{""""coordinates"""": [-123.13399375883846", 49.24706641426357]," """"type"""": """"Point""""}"";__FJ0NDY;71414414;007804792;W 27TH AV",1288
"1276;Shaughnessy;""{""""coordinates"""": [-123.13378557456909", 49.24706306643287]," """"type"""": """"Point""""}"";__FJ0NE0;71414426;011026910;W 27TH AV",1276
"1388;Shaughnessy;""{""""coordinates"""": [-123.13620917826016", 49.24701297349446]," """"type"""": """"Point""""}"";__FJ0NE8;71713516;006918573;NANTON AV",1388
"1410;Shaughnessy;""{""""coordinates"""": [-123.13731000316959", 49.247102954016846]," """"type"""": """"Point""""}"";__FJ0NEC;71713004;010963464;NANTON AV",1410
"1468;Shaughnessy;""{""""coordinates"""": [-123.13797079193286", 49.24804081029714]," """"type"""": """"Point""""}"";__FJ0NEO;71213034;011172282;W 26TH AV",1468
"1425;Shaughnessy;""{""""coordinates"""": [-123.13740176889523", 49.247636271222014]," """"type"""": """"Point""""}"";__FJ0NEY;71713075;011172339;NANTON AV",1425
"1457;Shaughnessy;""{""""coordinates"""": [-123.13796747413396", 49.24857108315487]," """"type"""": """"Point""""}"";__FJ0NFC;71213037;011180269;W 26TH AV",1457
";Shaughnessy;""{""""coordinates"""": [-123.13545231283106", 49.24853109815788]," """"type"""": """"Point""""}"";__FJ0NFO;71213553;028289366;",
"1326;Shaughnessy;""{""""coordinates"""": [-123.13503304538183", 49.24801015338641]," """"type"""": """"Point""""}"";__FJ0NG0;71213576;011028084;W 26TH AV",1326
