Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
1379 33RD AVE W VANCOUVER V6M 1A6,"$4,566,000",3371000.00,1195000.00,1996.00,8250,$408.61
1331 33RD AVE W VANCOUVER V6M 1A6,"$3,879,000",3371000.00,508000.00,1922.00,8250,$408.61
1290 33RD AVE W VANCOUVER V6M 1A5,"$3,766,100",3682000.00,84100.00,1938.00,10005.6,$367.99
1276 33RD AVE W VANCOUVER V6M 1A5,"$6,607,000",3682000.00,2925000.00,2011.00,10005.6,$367.99
1242 33RD AVE W VANCOUVER V6M 1A5,"$6,466,000",3682000.00,2784000.00,2015.00,10005.6,$367.99
1336 33RD AVE W VANCOUVER V6M 1A5,"$3,595,000",3470000.00,125000.00,1932.00,8754.9,$396.35
1458 33RD AVE W VANCOUVER V6M 1A5,"$3,443,000",3295000.00,148000.00,1924.00,8750,$376.57
1476 33RD AVE W VANCOUVER V6M 1A5,"$3,058,000",2949000.00,109000.00,1920.00,8750,$337.03
1492 33RD AVE W VANCOUVER V6M 1A5,"$2,931,000",2813000.00,118000.00,1929.00,8314.6536,$338.32
4938 GRANVILLE ST VANCOUVER V6M 3B2,"$3,108,800",3036000.00,72800.00,1952.00,8754.9,$346.78
4812 MARGUERITE ST VANCOUVER V6J 4G9,"$5,269,000",5104000.00,165000.00,1922.00,11290.4697,$452.06
4775 CONNAUGHT DR VANCOUVER V6J 4E4,"$5,541,000",5435000.00,106000.00,1925.00,12882.87,$421.88
1520 32ND AVE W VANCOUVER V6J 3A6,"$4,897,000",3866000.00,1031000.00,1992.00,18759,$206.09
4815 GRANVILLE ST VANCOUVER V6H 3M2,"$4,024,000",3902000.00,122000.00,1969.00,15750,$247.75
4849 GRANVILLE ST VANCOUVER V6H 3M2,"$4,026,000",3902000.00,124000.00,1954.00,15750,$247.75
1569 33RD AVE W VANCOUVER V6M 1A8,"$4,668,000",4538000.00,130000.00,1949.00,14500,$312.97
4850 CONNAUGHT DR VANCOUVER V6J 4E5,"$5,743,000",5388000.00,355000.00,1920.00,20764,$259.49
4650 MARGUERITE ST VANCOUVER V6J 4G8,"$4,891,600",4819000.00,72600.00,1920.00,11630,$414.36
4649 BEVERLY CRES VANCOUVER V6J 4E7,"$4,593,000",4318000.00,275000.00,1925.00,7803.18,$553.36
4561 BEVERLY CRES VANCOUVER V6J 4E7,"$4,694,000",4338000.00,356000.00,1921.00,7868.52,$551.31
4630 CONNAUGHT DR VANCOUVER V6J 4E2,"$6,841,000",6545000.00,296000.00,1928.00,18494,$353.90
4670 CONNAUGHT DR VANCOUVER V6J 4E2,"$16,379,000",6226000.00,10153000.00,2013.00,16095,$386.83
1509 32ND AVE W VANCOUVER V6J 3A5,"$3,382,000",3266000.00,116000.00,1954.00,16094,$202.93
1509 32ND AVE W VANCOUVER V6J 3A5,"$3,382,000",3266000.00,116000.00,1954.00,16094,$202.93
4550 BEVERLY CRES VANCOUVER V6J 4E6,"$6,585,000",4814000.00,1771000.00,2000.00,9804.864,$490.98
4691 CONNAUGHT DR VANCOUVER V6J 4E3,"$5,921,000",5485000.00,436000.00,1922.00,13165,$416.64
4641 CONNAUGHT DR VANCOUVER V6J 4E3,"$5,572,000",5427000.00,145000.00,1927.00,12840.52,$422.65
1550 34TH AVE W VANCOUVER V6M 1E9,"$6,307,000",6115000.00,192000.00,1931.00,15400,$397.08
1520 34TH AVE W VANCOUVER V6M 1E9,"$5,041,000",4848000.00,193000.00,1930.00,13300,$364.51
1520 33RD AVE W VANCOUVER V6M 1A7,"$6,215,000",4407000.00,1808000.00,1995.00,13444.4,$327.79
1519 34TH AVE W VANCOUVER V6M 1E8,"$5,081,000",4848000.00,233000.00,1930.00,13300,$364.51
4970 MARGUERITE ST VANCOUVER V6M 3K1,"$5,085,000",4974000.00,111000.00,1925.00,10655.7,$466.79
5012 MARGUERITE ST VANCOUVER V6M 3K1,"$6,407,000",4974000.00,1433000.00,1956.00,10658.34,$466.68
4987 CONNAUGHT DR VANCOUVER V6M 3E8,"$5,770,000",5587000.00,183000.00,1925.00,16648,$335.60
5462 GRANVILLE ST VANCOUVER V6M 3C3,"$2,974,600",2918000.00,56600.00,1938.00,8074.08,$361.40
5488 GRANVILLE ST VANCOUVER V6M 3C3,"$3,007,300",2918000.00,89300.00,1938.00,8074.08,$361.40
1459 39TH AVE W VANCOUVER V6M 1T2,"$3,115,300",3043000.00,72300.00,1938.00,7585.74,$401.15
1415 39TH AVE W VANCOUVER V6M 1T2,"$3,063,000",2899000.00,164000.00,1939.00,6649.7,$435.96
1410 38TH AVE W VANCOUVER V6M 1R5,"$2,784,300",2729000.00,55300.00,1940.00,6649.7,$410.39
1420 38TH AVE W VANCOUVER V6M 1R5,"$2,768,900",2729000.00,39900.00,1938.00,6649.7,$410.39
1450 38TH AVE W VANCOUVER V6M 1R5,"$3,089,000",2943000.00,146000.00,1938.00,7635.69,$385.43
1460 38TH AVE W VANCOUVER V6M 1R5,"$2,965,000",2859000.00,106000.00,1938.00,7585.74,$376.89
5362 GRANVILLE ST VANCOUVER V6M 3C1,"$3,099,000",3057000.00,42000.00,1943.00,8877.6,$344.35
1408 37TH AVE W VANCOUVER V6M 1M3,"$3,910,000",3784000.00,126000.00,1939.00,8940.8,$423.23
1289 39TH AVE W VANCOUVER V6M 1S9,"$4,282,000",3596000.00,686000.00,1989.00,9000,$399.56
1277 39TH AVE W VANCOUVER V6M 1S9,"$5,465,000",3771000.00,1694000.00,2005.00,8875,$424.90
1263 39TH AVE W VANCOUVER V6M 1S9,"$6,023,000",3802000.00,2221000.00,2016.00,8125,$467.94
1278 37TH AVE W VANCOUVER V6M 1M1,"$4,009,900",3918000.00,91900.00,1929.00,8642.8,$453.33
1336 37TH AVE W VANCOUVER V6M 1M2,"$3,998,000",3868000.00,130000.00,1942.00,9380,$412.37
1350 37TH AVE W VANCOUVER V6M 1M2,"$4,718,000",3868000.00,850000.00,1990.00,9380,$412.37
1364 37TH AVE W VANCOUVER V6M 1M2,"$3,932,400",3868000.00,64400.00,1945.00,9380,$412.37
