Address,Total_value,Land_value,Building_value,Year_Built,Land_Size,PricePerSqFt
4088 MAPLE CRES VANCOUVER V6J 4B2,"$3,273,000",3103000.00,170000.00,1932.00,8906.7,$348.39
4149 CYPRESS ST VANCOUVER V6J 3P7,"$5,081,000",4606000.00,475000.00,1921.00,11768.4,$391.39
4237 CYPRESS ST VANCOUVER V6J 3P7,"$7,323,000",5064000.00,2259000.00,2007.00,16650,$304.14
4283 CYPRESS ST VANCOUVER V6J 3P7,"$10,410,000",4455000.00,5955000.00,2019.00,15570,$286.13
1950 NANTON AVE VANCOUVER V6J 2Y1,"$2,860,000",2709000.00,151000.00,1920.00,7732.5,$350.34
4135 CYPRESS CRES VANCOUVER V6J 4L4,"$3,768,000",3633000.00,135000.00,1929.00,7796.25,$465.99
4152 MAPLE CRES VANCOUVER V6J 4B2,"$3,546,000",3186000.00,360000.00,1948.00,8298.84,$383.91
4136 MAPLE CRES VANCOUVER V6J 4B2,"$3,223,200",3124000.00,99200.00,1929.00,9552,$327.05
4120 MAPLE CRES VANCOUVER V6J 4B2,"$4,230,000",3567000.00,663000.00,1930.00,10754.7,$331.67
4511 MARGUERITE ST VANCOUVER V6J 4G7,"$5,841,000",5589000.00,252000.00,1920.00,13789,$405.32
1177 40TH AVE W VANCOUVER V6M 1V1,"$5,969,000",3753000.00,2216000.00,2009.00,7923.2,$473.67
5508 OSLER ST VANCOUVER V6M 2W9,"$3,712,000",3072000.00,640000.00,1992.00,7397.5127,$415.27
1562 40TH AVE W VANCOUVER V6M 1V8,"$6,378,000",4000000.00,2378000.00,2012.00,9300,$430.11
1964 19TH AVE W VANCOUVER V6J 2P3,"$4,941,000",4710000.00,231000.00,1924.00,13500,$348.89
3405 CYPRESS ST VANCOUVER V6J 0A7,"$9,972,000",5953000.00,4019000.00,2006.00,12637.5,$471.06
1988 17TH AVE W VANCOUVER V6J 2N1,"$7,680,000",5911000.00,1769000.00,1990.00,12500,$472.88
1975 18TH AVE W VANCOUVER V6J 2N6,"$6,233,000",5911000.00,322000.00,1981.00,12500,$472.88
1788 CEDAR CRES VANCOUVER V6J 2R2,"$5,798,000",5623000.00,175000.00,1925.00,15978,$351.92
3937 ANGUS DR VANCOUVER V6J 4H8,"$5,146,000",4932000.00,214000.00,1913.00,13605.34,$362.50
3789 PINE CRES VANCOUVER V6J 4K4,"$7,406,000",5902000.00,1504000.00,1912.00,18939.2,$311.63
3790 PINE CRES VANCOUVER V6J 4K3,"$7,088,000",5728000.00,1360000.00,1917.00,17688,$323.84
1088 RICHELIEU AVE VANCOUVER V6H 1T1,"$3,322,700",3256000.00,66700.00,1959.00,7627.06,$426.90
1526 NANTON AVE VANCOUVER V6J 2X2,"$4,036,000",3900000.00,136000.00,1922.00,9251.343,$421.56
1208 33RD AVE W VANCOUVER V6M 1A5,"$4,021,000",3669000.00,352000.00,1940.00,9918.051,$369.93
4841 OSLER ST VANCOUVER V6H 2Y8,"$3,739,000",3450000.00,289000.00,1923.00,6250,$552.00
1188 38TH AVE W VANCOUVER V6M 1P9,"$5,302,000",3772000.00,1530000.00,1998.00,8000,$471.50
1277 33RD AVE W VANCOUVER V6M 1A4,"$3,445,800",3371000.00,74800.00,1922.00,8250,$408.61
1407 33RD AVE W VANCOUVER V6M 1A6,"$4,197,000",3371000.00,826000.00,1926.00,8250,$408.61
4576 CONNAUGHT DR VANCOUVER V6J 4E2,"$6,486,000",6269000.00,217000.00,1932.00,20107,$311.78
4570 BEVERLY CRES VANCOUVER V6J 4E6,"$6,271,000",4807000.00,1464000.00,1995.00,9770.745,$491.98
1570 34TH AVE W VANCOUVER V6M 1E9,"$6,287,000",6115000.00,172000.00,1920.00,15400,$397.08
1570 34TH AVE W VANCOUVER V6M 1E9,"$6,287,000",6115000.00,172000.00,1920.00,15400,$397.08
1238 38TH AVE W VANCOUVER V6M 1R1,"$3,969,700",3886000.00,83700.00,1932.00,8500,$457.18
1388 37TH AVE W VANCOUVER V6M 1M2,"$4,580,000",3868000.00,712000.00,1993.00,9380,$412.37
1569 36TH AVE W VANCOUVER V6M 1J9,"$6,339,000",6115000.00,224000.00,1921.00,15400,$397.08
1-1663 AVONDALE AVE VANCOUVER V6M 1S2,"$6,050,000",5731000.00,319000.00,1928.00,15167,$377.86
1115 32ND AVE W VANCOUVER V6H 2H8,"$4,493,000",4217000.00,276000.00,1924.00,8248.6,$511.24
2051 17TH AVE W VANCOUVER V6J 2N3,"$5,287,500",5191000.00,96500.00,1952.00,11500,$451.39
3302 EAST BOULEVARD VANCOUVER V6J 4A7,"$3,024,500",2941000.00,83500.00,1914.00,7020,$418.95
3350 EAST BOULEVARD VANCOUVER V6J 4A7,"$2,865,800",2773000.00,92800.00,1913.00,7020,$395.01
3337 MAPLE ST VANCOUVER V6J 3V3,"$4,462,000",4335000.00,127000.00,1929.00,11528.75,$376.02
3426 EAST BOULEVARD VANCOUVER V6J 4A8,"$3,194,000",2941000.00,253000.00,1948.00,7020,$418.95
2075 19TH AVE W VANCOUVER V6J 2P5,"$4,450,000",2941000.00,1509000.00,2006.00,7020,$418.95
2088 19TH AVE W VANCOUVER V6J 2P4,"$3,603,000",2941000.00,662000.00,1995.00,7020,$418.95
3550 EAST BOULEVARD VANCOUVER V6J 4A9,"$3,366,000",2773000.00,593000.00,1993.00,7020,$395.01
2028 19TH AVE W VANCOUVER V6J 2P4,"$7,061,000",6158000.00,903000.00,1990.00,13310.931,$462.63
1990 18TH AVE W VANCOUVER V6J 2N5,"$8,144,000",4688000.00,3456000.00,1913.00,12587.5,$372.43
1903 19TH AVE W VANCOUVER V6J 2P2,"$4,968,000",4699000.00,269000.00,1913.00,12637.5,$371.83
1947 19TH AVE W VANCOUVER V6J 2P2,"$6,186,000",4666000.00,1520000.00,1913.00,12500,$373.28
1981 19TH AVE W VANCOUVER V6J 2P2,"$5,878,000",4666000.00,1212000.00,1913.00,12500,$373.28
1981 19TH AVE W VANCOUVER V6J 2P2,"$5,878,000",4666000.00,1212000.00,1913.00,12500,$373.28
3388 MAPLE ST VANCOUVER V6J 3V4,"$8,055,000",5938000.00,2117000.00,1996.00,12587.5,$471.74
1926 17TH AVE W VANCOUVER V6J 2N1,"$5,465,000",4666000.00,799000.00,1912.00,12500,$373.28
1919 18TH AVE W VANCOUVER V6J 2N6,"$8,887,000",5953000.00,2934000.00,2011.00,12637.5,$471.06
1927 18TH AVE W VANCOUVER V6J 2N6,"$5,974,900",5911000.00,63900.00,1951.00,12500,$472.88
1984 16TH AVE W VANCOUVER V6J 2M4,"$3,946,000",3883000.00,63000.00,1952.00,12500,$310.64
1927 17TH AVE W VANCOUVER V6J 2N2,"$5,307,000",4666000.00,641000.00,1912.00,12500,$373.28
1951 17TH AVE W VANCOUVER V6J 2N2,"$5,092,000",4666000.00,426000.00,1914.00,12500,$373.28
1975 17TH AVE W VANCOUVER V6J 2N2,"$7,456,000",5911000.00,1545000.00,1995.00,12500,$472.88
1826 16TH AVE W VANCOUVER V6J 2M2,"$3,389,000",3144000.00,245000.00,1912.00,12500,$251.52
3490 CYPRESS ST VANCOUVER V6J 3N8,"$8,336,000",5849000.00,2487000.00,1912.00,21156,$276.47
3333 CEDAR CRES VANCOUVER V6J 2R4,"$3,327,900",3251000.00,76900.00,1921.00,9343,$347.96
3416 CEDAR CRES VANCOUVER V6J 2R3,"$11,761,000",6470000.00,5291000.00,2007.00,14650.2,$441.63
3590 PINE CRES VANCOUVER V6J 4J8,"$17,485,000",10023000.00,7462000.00,1996.00,26784,$374.22
2089 20TH AVE W VANCOUVER V6J 2P6,"$3,031,600",2982000.00,49600.00,1948.00,8260.34,$361.00
2003 20TH AVE W VANCOUVER V6J 2P6,"$7,221,000",5999000.00,1222000.00,1989.00,12789.84,$469.04
2060 20TH AVE W VANCOUVER V6J 2P7,"$3,634,000",3386000.00,248000.00,1924.00,15073,$224.64
2051 KING EDWARD AVE W VANCOUVER V6J 2W8,"$2,770,200",2703000.00,67200.00,2021.00,8900.1,$303.70
3995 MAPLE CRES VANCOUVER V6J 3V7,"$2,739,800",2675000.00,64800.00,1951.00,8716,$306.91
3851 CEDAR CRES VANCOUVER V6J 2R7,"$6,124,300",6070000.00,54300.00,1952.00,17394,$348.97
3689 CEDAR CRES VANCOUVER V6J 2R7,"$5,779,000",5148000.00,631000.00,1912.00,14676.21,$350.77
2050 20TH AVE W VANCOUVER V6J 2P7,"$4,311,000",4159000.00,152000.00,1925.00,11881.8,$350.03
1961 CEDAR CRES VANCOUVER V6J 2R5,"$6,638,000",3836000.00,2802000.00,1912.00,15650,$245.11
3615 CYPRESS ST VANCOUVER V6J 3P2,"$6,173,000",5529000.00,644000.00,1986.00,12327,$448.53
1975 HOSMER AVE VANCOUVER V6J 2S7,"$7,070,000",6714000.00,356000.00,1931.00,23779.7,$282.34
1937 HOSMER AVE VANCOUVER V6J 2S7,"$6,938,000",4990000.00,1948000.00,1912.00,13846.2,$360.39
1917 HOSMER AVE VANCOUVER V6J 2S7,"$7,561,000",5172000.00,2389000.00,2011.00,10654.26,$485.44
1909 HOSMER AVE VANCOUVER V6J 2S7,"$5,443,000",4653000.00,790000.00,1954.00,9025,$515.57
3823 CYPRESS ST VANCOUVER V6J 3P4,"$9,487,000",8208000.00,1279000.00,1912.00,31678,$259.11
3998 ANGUS DR VANCOUVER V6J 4H7,"$6,101,000",3433000.00,2668000.00,1912.00,18390,$186.68
4038 CYPRESS ST VANCOUVER V6J 3P5,"$6,991,000",4152000.00,2839000.00,1994.00,16744,$247.97
3989 ANGUS DR VANCOUVER V6J 4H8,"$5,445,000",3390000.00,2055000.00,1918.00,17721.36,$191.29
3979 ANGUS DR VANCOUVER V6J 4H8,"$4,995,000",4833000.00,162000.00,1926.00,13193.74,$366.31
3738 CYPRESS ST VANCOUVER V6J 3P3,"$7,018,000",6705000.00,313000.00,1910.00,16160,$414.91
3851 PINE CRES VANCOUVER V6J 4K4,"$9,264,000",8817000.00,447000.00,1912.00,31770,$277.53
1860 HOSMER AVE VANCOUVER V6J 2S5,"$7,211,000",7025000.00,186000.00,1964.00,15957,$440.25
1811 MATTHEWS AVE VANCOUVER V6J 2T4,"$10,923,000",6643000.00,4280000.00,2009.00,15448.84,$430.00
1837 MATTHEWS AVE VANCOUVER V6J 2T4,"$5,856,000",5526000.00,330000.00,1913.00,18891,$292.52
3676 PINE CRES VANCOUVER V6J 4K3,"$6,554,000",6106000.00,448000.00,1927.00,19895,$306.91
3739 ANGUS DR VANCOUVER V6J 4H6,"$12,261,000",9145000.00,3116000.00,1988.00,24327,$375.92
3403 PINE CRES VANCOUVER V6J 4K1,"$8,999,000",8989000.00,10000.00,1912.00,23582.05,$381.18
1778 CEDAR CRES VANCOUVER V6J 2R2,"$6,623,000",6235000.00,388000.00,1922.00,22000,$283.41
3538 PINE CRES VANCOUVER V6J 4J8,"$6,527,000",6418000.00,109000.00,1912.00,21582,$297.38
3851 MARGUERITE ST VANCOUVER V6J 4E8,"$6,524,000",4493000.00,2031000.00,1912.00,13110.9,$342.69
3898 ANGUS DR VANCOUVER V6J 4H7,"$5,000,000",4509000.00,491000.00,1912.00,12037,$374.59
4051 MARGUERITE ST VANCOUVER V6J 4E8,"$4,916,000",3734000.00,1182000.00,1929.00,19826,$188.34
1751 KING EDWARD AVE W VANCOUVER V6J 2W1,"$3,186,200",3117000.00,69200.00,1929.00,14174.472,$219.90
3988 ANGUS DR VANCOUVER V6J 4H7,"$9,679,000",6240000.00,3439000.00,2000.00,13530.94,$461.17
1712 CEDAR CRES VANCOUVER V6J 2R2,"$7,529,000",6643000.00,886000.00,1911.00,23522,$282.42
1696 LAURIER AVE VANCOUVER V6J 2V4,"$7,461,000",4865000.00,2596000.00,1914.00,13325,$365.10
1757 MATTHEWS AVE VANCOUVER V6J 2T3,"$6,628,000",6066000.00,562000.00,1980.00,13009,$466.29
1469 MCRAE AVE VANCOUVER V6H 1V1,"$17,570,200",15978000.00,1592200.00,1911.00,86470,$184.78
1433 ANGUS DR VANCOUVER V6H 1V2,"$10,072,000",8116000.00,1956000.00,1982.00,14365,$564.98
1498 ANGUS DR VANCOUVER V6H 1V3,"$22,442,000",8449000.00,13993000.00,2006.00,43546,$194.02
1488 ANGUS DR VANCOUVER V6H 1V3,"$7,259,000",6265000.00,994000.00,1910.00,18905.1,$331.39
1450 ANGUS DR VANCOUVER V6H 1V3,"$9,004,000",8633000.00,371000.00,1929.00,25579.92,$337.49
1389 MATTHEWS AVE VANCOUVER V6H 1W7,"$20,228,000",9723000.00,10505000.00,2013.00,23469.3,$414.29
1703 CEDAR CRES VANCOUVER V6J 2R1,"$5,267,000",4666000.00,601000.00,1913.00,12500,$373.28
1646 16TH AVE W VANCOUVER V6J 2L8,"$2,587,000",2442000.00,145000.00,1912.00,9375,$260.48
3208 FIR ST VANCOUVER V6J 3C6,"$4,137,000",3105000.00,1032000.00,1994.00,10822.5,$286.90
1542 16TH AVE W VANCOUVER V6J 2L6,"$2,889,600",2838000.00,51600.00,1946.00,8750,$324.34
1589 MARPOLE AVE VANCOUVER V6J 2R9,"$5,175,000",4959000.00,216000.00,1912.00,16506,$300.44
3410 MARPOLE AVE VANCOUVER V6J 2S1,"$8,766,000",8495000.00,271000.00,1965.00,22688.34,$374.42
1550 MARPOLE AVE VANCOUVER V6J 2S1,"$13,814,000",9312000.00,4502000.00,1919.00,39579,$235.28
1538 MARPOLE AVE VANCOUVER V6J 2S1,"$5,067,000",4430000.00,637000.00,1979.00,10018,$442.20
3335 GRANVILLE ST VANCOUVER V6H 3K4,"$4,199,000",3831000.00,368000.00,1979.00,12604,$303.95
1553 ANGUS DR VANCOUVER V6J 4H2,"$11,656,000",7853000.00,3803000.00,1911.00,26207,$299.65
1650 CEDAR CRES VANCOUVER V6J 2P9,"$5,413,000",5294000.00,119000.00,1912.00,16178.95,$327.22
1612 CEDAR CRES VANCOUVER V6J 2P9,"$5,321,000",5041000.00,280000.00,1913.00,18096,$278.57
1645 MARPOLE AVE VANCOUVER V6J 2S2,"$4,814,200",4731000.00,83200.00,1920.00,12766.4,$370.58
3433 MARPOLE AVE VANCOUVER V6J 2S3,"$6,958,000",5188000.00,1770000.00,1996.00,12240,$423.86
3435 MARPOLE AVE VANCOUVER V6J 2S3,"$7,802,000",6475000.00,1327000.00,1993.00,13291,$487.17
1426 LAURIER AVE VANCOUVER V6H 1Z1,"$7,723,000",6840000.00,883000.00,1911.00,20000,$342.00
1412 LAURIER AVE VANCOUVER V6H 1Z1,"$10,007,000",8360000.00,1647000.00,1951.00,20000,$418.00
1374 LAURIER AVE VANCOUVER V6H 1Y8,"$7,506,000",6840000.00,666000.00,1920.00,20000,$342.00
1326 LAURIER AVE VANCOUVER V6H 1Y8,"$6,616,000",6501000.00,115000.00,1923.00,18200,$357.20
1327 KING EDWARD AVE W VANCOUVER V6H 2A1,"$4,338,400",4276000.00,62400.00,1951.00,18200,$234.95
1375 KING EDWARD AVE W VANCOUVER V6H 2A1,"$4,950,000",3744000.00,1206000.00,1921.00,20000,$187.20
3837 CARTIER ST VANCOUVER V6H 3C6,"$7,278,000",6447000.00,831000.00,1912.00,17725,$363.72
1453 LAURIER AVE VANCOUVER V6H 1Z2,"$6,600,000",6460000.00,140000.00,1912.00,20000,$323.00
1303 MATTHEWS AVE VANCOUVER V6H 1W7,"$8,013,000",7233000.00,780000.00,1986.00,13601.8,$531.77
1365 MATTHEWS AVE VANCOUVER V6H 1W7,"$5,278,000",5071000.00,207000.00,1938.00,11152.53,$454.70
1338 MATTHEWS AVE VANCOUVER V6H 1W8,"$6,824,000",6560000.00,264000.00,1912.00,18515.616,$354.30
1329 BALFOUR AVE VANCOUVER V6H 1X9,"$6,977,000",6608000.00,369000.00,1977.00,11669,$566.29
3620 ALEXANDRA ST VANCOUVER V6J 4B9,"$6,183,000",5688000.00,495000.00,1973.00,11983.3,$474.66
3630 ALEXANDRA ST VANCOUVER V6J 4B9,"$6,479,000",6174000.00,305000.00,1973.00,13362.7525,$462.03
1651 MATTHEWS AVE VANCOUVER V6J 2T1,"$7,254,000",7049000.00,205000.00,1918.00,23381.75,$301.47
1598 ANGUS DR VANCOUVER V6J 4H3,"$7,428,000",7100000.00,328000.00,1914.00,23572.36,$301.20
3751 GRANVILLE ST VANCOUVER V6H 3K7,"$4,926,000",4767000.00,159000.00,1922.00,24605.82,$193.73
3788 ALEXANDRA ST VANCOUVER V6J 4C2,"$6,576,000",5959000.00,617000.00,1913.00,19279,$309.09
1588 LAURIER AVE VANCOUVER V6J 2V3,"$5,671,000",5054000.00,617000.00,1980.00,9501.9,$531.89
3940 ALEXANDRA ST VANCOUVER V6J 4C5,"$5,207,000",4801000.00,406000.00,1980.00,9501.9,$505.27
1558 LAURIER AVE VANCOUVER V6J 2V3,"$11,557,000",6823000.00,4734000.00,1993.00,18000,$379.06
1526 LAURIER AVE VANCOUVER V6J 2V3,"$4,996,000",4668000.00,328000.00,1912.00,18000,$259.33
1508 LAURIER AVE VANCOUVER V6J 2V3,"$7,722,000",4156000.00,3566000.00,2015.00,13200,$314.85
3989 GRANVILLE ST VANCOUVER V6H 3L1,"$3,712,000",3325000.00,387000.00,1920.00,13200,$251.89
4025 GRANVILLE ST VANCOUVER V6H 3L1,"$3,362,000",3092000.00,270000.00,1918.00,12000,$257.67
1539 KING EDWARD AVE W VANCOUVER V6J 2V7,"$8,521,000",3490000.00,5031000.00,2011.00,14003.5,$249.22
1557 KING EDWARD AVE W VANCOUVER V6J 2V7,"$4,240,000",3684000.00,556000.00,1987.00,14003.5,$263.08
1656 LAURIER AVE VANCOUVER V6J 2V4,"$14,618,000",6422000.00,8196000.00,1925.00,21200,$302.92
1646 LAURIER AVE VANCOUVER V6J 2V4,"$6,854,000",6080000.00,774000.00,1913.00,20000,$304.00
1606 LAURIER AVE VANCOUVER V6J 2V4,"$6,695,000",6080000.00,615000.00,1918.00,20000,$304.00
1605 KING EDWARD AVE W VANCOUVER V6J 2V8,"$4,502,000",4378000.00,124000.00,1953.00,19600,$223.37
1619 KING EDWARD AVE W VANCOUVER V6J 2V8,"$3,658,000",3503000.00,155000.00,1925.00,19600,$178.72
1645 KING EDWARD AVE W VANCOUVER V6J 2V8,"$7,686,000",4119000.00,3567000.00,2015.00,16400,$251.16
3837 ALEXANDRA ST VANCOUVER V6J 4C3,"$15,387,000",9603000.00,5784000.00,1910.00,32519,$295.30
1649 LAURIER AVE VANCOUVER V6J 2V5,"$5,834,000",5494000.00,340000.00,1912.00,15000,$366.27
1589 MATTHEWS AVE VANCOUVER V6J 2T1,"$8,369,000",6274000.00,2095000.00,1937.00,20680.968,$303.37
1590 MATTHEWS AVE VANCOUVER V6J 2S9,"$6,172,000",5764000.00,408000.00,1931.00,18116,$318.17
1055 WOLFE AVE VANCOUVER V6H 1V6,"$4,162,000",3613000.00,549000.00,1913.00,16059,$224.98
1040 16TH AVE W VANCOUVER V6H 1S6,"$3,862,000",3723000.00,139000.00,1912.00,8712,$427.34
1020 16TH AVE W VANCOUVER V6H 1S6,"$3,713,000",3567000.00,146000.00,1930.00,8651,$412.32
1065 RICHELIEU AVE VANCOUVER V6H 1S9,"$4,498,000",4135000.00,363000.00,1977.00,11569,$357.42
1091 RICHELIEU AVE VANCOUVER V6H 1S9,"$2,825,000",2539000.00,286000.00,1981.00,5483.1,$463.06
3411 OAK ST VANCOUVER V6H 2L7,"$6,214,000",3592000.00,2622000.00,1930.00,7920,$453.54
1003 DOUGLAS CRES VANCOUVER V6H 1V4,"$4,205,000",3538000.00,667000.00,1927.00,7800,$453.59
1053 DOUGLAS CRES VANCOUVER V6H 1V4,"$4,701,000",4541000.00,160000.00,1913.00,25564.35,$177.63
1046 RICHELIEU AVE VANCOUVER V6H 1T1,"$5,123,000",4928000.00,195000.00,1969.00,15417,$319.65
1190 RICHELIEU AVE VANCOUVER V6H 1T1,"$6,104,000",4424000.00,1680000.00,1997.00,15831,$279.45
1080 WOLFE AVE VANCOUVER V6H 1V8,"$5,886,000",5280000.00,606000.00,1912.00,27522.495,$191.84
1098 WOLFE AVE VANCOUVER V6H 1V8,"$9,033,000",5102000.00,3931000.00,2006.00,17991,$283.59
1102 WOLFE AVE VANCOUVER V6H 1V8,"$5,943,000",5700000.00,243000.00,1949.00,19999.95,$285.00
3402 OSLER ST VANCOUVER V6H 2W3,"$17,667,000",10675000.00,6992000.00,2002.00,23630.26,$451.75
1188 WOLFE AVE VANCOUVER V6H 1V8,"$8,509,000",7284000.00,1225000.00,1911.00,33800,$215.50
1671 KING EDWARD AVE W VANCOUVER V6J 2V8,"$4,183,100",4119000.00,64100.00,1949.00,16400,$251.16
1428 40TH AVE W VANCOUVER V6M 1V6,"$4,373,000",3877000.00,496000.00,1989.00,8457.85,$458.39
1416 40TH AVE W VANCOUVER V6M 1V6,"$3,954,700",3877000.00,77700.00,1926.00,8457.85,$458.39
1406 40TH AVE W VANCOUVER V6M 1V6,"$8,360,000",3683000.00,4677000.00,1927.00,8459.3,$435.38
1415 41ST AVE W VANCOUVER V6M 1X5,"$2,765,700",2692000.00,73700.00,1928.00,8317.2747,$323.66
1437 41ST AVE W VANCOUVER V6M 1X5,"$2,808,000",2692000.00,116000.00,1928.00,8318.7006,$323.61
1292 40TH AVE W VANCOUVER V6M 1V4,"$4,542,000",3722000.00,820000.00,1998.00,8640,$430.79
1235 41ST AVE W VANCOUVER V6M 1X2,"$3,080,000",2531000.00,549000.00,1992.00,8804.705,$287.46
1249 41ST AVE W VANCOUVER V6M 1X2,"$2,815,200",2768000.00,47200.00,1946.00,8806,$314.33
5688 HUDSON ST VANCOUVER V6M 0B6,"$4,579,000",2736000.00,1843000.00,2018.00,8604,$317.99
1503 41ST AVE W VANCOUVER V6M 1X7,"$7,726,700",7713000.00,13700.00,1966.00,14879,$518.38
1503 41ST AVE W VANCOUVER V6M 1X7,"$7,726,700",7713000.00,13700.00,1966.00,14879,$518.38
5675 CHURCHILL ST VANCOUVER V6M 3H1,"$10,187,000",7737000.00,2450000.00,2002.00,34200,$226.23
1623 41ST AVE W VANCOUVER V6M 1X9,"$4,665,000",4453000.00,212000.00,1950.00,17100,$260.41
5592 OSLER ST VANCOUVER V6M 2W9,"$3,679,000",3556000.00,123000.00,1966.00,7880.312,$451.25
1192 39TH AVE W VANCOUVER V6M 1S8,"$6,593,000",3783000.00,2810000.00,2012.00,8047,$470.11
1122 39TH AVE W VANCOUVER V6M 1S8,"$4,071,000",3753000.00,318000.00,1981.00,7923.2,$473.67
1108 39TH AVE W VANCOUVER V6M 1S8,"$3,837,300",3783000.00,54300.00,1947.00,8047,$470.11
1163 40TH AVE W VANCOUVER V6M 1V1,"$5,016,000",3753000.00,1263000.00,1995.00,7923.2,$473.67
1228 39TH AVE W VANCOUVER V6M 1T1,"$5,144,000",3868000.00,1276000.00,1996.00,8418.4,$459.47
5555 CONNAUGHT DR VANCOUVER V6M 3G7,"$4,573,000",4424000.00,149000.00,1949.00,17032,$259.75
1631 40TH AVE W VANCOUVER V6M 1W1,"$7,643,000",7431000.00,212000.00,1926.00,20821,$356.90
5526 GRANVILLE ST VANCOUVER V6M 3C4,"$3,007,400",2943000.00,64400.00,1927.00,8212.752,$358.35
1451 40TH AVE W VANCOUVER V6M 1V5,"$3,764,000",3278000.00,486000.00,1990.00,6810.0275,$481.35
1278 39TH AVE W VANCOUVER V6M 1T1,"$5,833,000",3675000.00,2158000.00,2016.00,8418.4,$436.54
1236 39TH AVE W VANCOUVER V6M 1T1,"$3,979,000",3868000.00,111000.00,1941.00,8418.4,$459.47
1538 40TH AVE W VANCOUVER V6M 1V8,"$5,512,000",3006000.00,2506000.00,2018.00,9600,$313.13
5588 CHURCHILL ST VANCOUVER V6M 3G9,"$7,182,000",6964000.00,218000.00,1928.00,19420,$358.60
5560 SOMERSET CRES VANCOUVER V6M 1S6,"$8,978,000",8081000.00,897000.00,1929.00,24466,$330.30
1638 40TH AVE W VANCOUVER V6M 1V9,"$10,524,000",6371000.00,4153000.00,2002.00,17100,$372.57
1630 40TH AVE W VANCOUVER V6M 1V9,"$6,661,000",6365000.00,296000.00,1927.00,17100,$372.22
1338 BALFOUR AVE VANCOUVER V6H 1X7,"$9,730,000",8002000.00,1728000.00,1990.00,18443.1816,$433.87
1438 BALFOUR AVE VANCOUVER V6H 1Y1,"$13,948,000",7156000.00,6792000.00,2008.00,17624.88,$406.02
1049 27TH AVE W VANCOUVER V6H 2B5,"$3,484,600",3427000.00,57600.00,1926.00,7687.5,$445.79
4229 OAK ST VANCOUVER V6H 2N2,"$2,374,000",2334000.00,40000.00,1948.00,6480,$360.19
1030 26TH AVE W VANCOUVER V6H 2A5,"$4,698,000",3219000.00,1479000.00,2011.00,8125,$396.18
1069 26TH AVE W VANCOUVER V6H 2A4,"$6,982,000",3748000.00,3234000.00,2016.00,8125,$461.29
4157 OAK ST VANCOUVER V6H 2N1,"$2,509,100",2463000.00,46100.00,1949.00,5898,$417.60
4175 OAK ST VANCOUVER V6H 2N1,"$2,502,600",2463000.00,39600.00,1949.00,5898,$417.60
1007 26TH AVE W VANCOUVER V6H 2A4,"$3,186,000",2219000.00,967000.00,2006.00,5910,$375.47
4168 OSLER ST VANCOUVER V6H 2X3,"$3,612,000",3084000.00,528000.00,1990.00,7500,$411.20
4250 OSLER ST VANCOUVER V6H 2X5,"$3,225,300",3148000.00,77300.00,1924.00,6000,$524.67
4329 OAK ST VANCOUVER V6H 2N3,"$2,403,900",2334000.00,69900.00,1947.00,6480,$360.19
4309 OAK ST VANCOUVER V6H 2N3,"$2,373,900",2334000.00,39900.00,1948.00,6480,$360.19
1068 27TH AVE W VANCOUVER V6H 2B6,"$4,140,000",3748000.00,392000.00,1988.00,8125,$461.29
4310 OSLER ST VANCOUVER V6H 2X7,"$3,768,700",3713000.00,55700.00,1926.00,7200,$515.69
4310 OSLER ST VANCOUVER V6H 2X7,"$3,768,700",3713000.00,55700.00,1926.00,7200,$515.69
4149 OSLER ST VANCOUVER V6H 2X2,"$3,718,000",3155000.00,563000.00,1921.00,7812.5,$403.84
1121 26TH AVE W VANCOUVER V6H 2A6,"$3,526,900",3450000.00,76900.00,1940.00,6250,$552.00
1133 26TH AVE W VANCOUVER V6H 2A6,"$3,783,000",3450000.00,333000.00,1992.00,6251,$551.91
1163 26TH AVE W VANCOUVER V6H 2A6,"$4,601,000",3450000.00,1151000.00,1996.00,6250,$552.00
1183 26TH AVE W VANCOUVER V6H 2A6,"$4,673,000",3450000.00,1223000.00,1995.00,6250,$552.00
1162 26TH AVE W VANCOUVER V6H 2A7,"$4,859,000",3450000.00,1409000.00,2013.00,6250,$552.00
1122 26TH AVE W VANCOUVER V6H 2A7,"$4,430,000",3450000.00,980000.00,2000.00,6250,$552.00
4209 OSLER ST VANCOUVER V6H 2X4,"$3,862,000",3587000.00,275000.00,1985.00,6750,$531.41
4269 OSLER ST VANCOUVER V6H 2X4,"$3,646,400",3587000.00,59400.00,1925.00,6750,$531.41
1163 27TH AVE W VANCOUVER V6H 2B7,"$3,571,000",3450000.00,121000.00,1923.00,6250,$552.00
4275 SELKIRK ST VANCOUVER V6H 2Z7,"$3,527,200",3450000.00,77200.00,1922.00,6250,$552.00
1233 27TH AVE W VANCOUVER V6H 2C1,"$4,713,000",3450000.00,1263000.00,1996.00,6250,$552.00
1239 27TH AVE W VANCOUVER V6H 2C1,"$3,862,000",3450000.00,412000.00,1987.00,6250,$552.00
4223 SELKIRK ST VANCOUVER V6H 2Z7,"$3,534,700",3450000.00,84700.00,1918.00,6250,$552.00
1233 26TH AVE W VANCOUVER V6H 2A8,"$3,529,200",3450000.00,79200.00,1926.00,6250,$552.00
1241 26TH AVE W VANCOUVER V6H 2A8,"$4,758,000",3450000.00,1308000.00,2013.00,6250,$552.00
